Combined Name,Calories,Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (g),Sodium (g),Carbs,Fiber,Sugars (g),Protein (g),Weight Watchers Pnts,Weight Watchers Pnts_old
BEVERAGES_Lipton  Brisk  Raspberry Tea (12 fl oz),80,0,0,0,0,0.05,20,0,20,0,1.6,100
BEVERAGES_Lipton  Brisk  Raspberry Tea (16 fl oz),100,0,0,0,0,0.06,26,0,26,0,2,126
BEVERAGES_Lipton  Brisk  Raspberry Tea (20 fl oz),130,0,0,0,0,0.07,33,0,33,0,2.6,163
BEVERAGES_Lipton  Brisk  Raspberry Tea (30 fl oz),190,0,0,0,0,0.11,49,0,49,0,3.8,239
BEVERAGES_Lipton  Brisk  Sweet Iced Tea (12 fl oz),80,0,0,0,0,0.05,22,0,21,0,1.6,101
BEVERAGES_Lipton  Brisk  Sweet Iced Tea (16 fl oz),110,0,0,0,0,0.07,29,0,29,0,2.2,139
BEVERAGES_Lipton  Brisk  Sweet Iced Tea (20 fl oz),130,0,0,0,0,0.08,36,0,36,0,2.6,166
BEVERAGES_Lipton  Brisk  Sweet Iced Tea (30 fl oz),200,0,0,0,0,0.12,54,0,54,0,4,254
BEVERAGES_Lipton  Brisk  Unsweetened No Lemon Iced Tea (12 fl oz),0,0,0,0,0,0.05,0,0,0,0,0,0
BEVERAGES_Lipton  Brisk  Unsweetened No Lemon Iced Tea (16 fl oz),0,0,0,0,0,0.06,0,0,0,0,0,0
BEVERAGES_Lipton  Brisk  Unsweetened No Lemon Iced Tea (20 fl oz),0,0,0,0,0,0.08,0,0,0,0,0,0
BEVERAGES_Lipton  Brisk  Unsweetened No Lemon Iced Tea (30 fl oz),0,0,0,0,0,0.12,0,0,0,0,0,0
BEVERAGES_Manzanita Sol  (12 fl oz),160,0,0,0,0,0.04,42,0,42,0,3.2,202
BEVERAGES_Manzanita Sol  (16 fl oz),210,0,0,0,0,0.05,57,0,57,0,4.2,267
BEVERAGES_Manzanita Sol  (20 fl oz),260,0,0,0,0,0.06,71,0,71,0,5.2,331
BEVERAGES_Manzanita Sol  (30 fl oz),400,0,0,0,0,0.08,106,0,106,0,8,506
BEVERAGES_Miranda  Strawberry (12 fl oz),160,0,0,0,0,0.07,44,0,44,0,3.2,204
BEVERAGES_Miranda  Strawberry (16 fl oz),220,0,0,0,0,0.1,58,0,58,0,4.4,278
BEVERAGES_Miranda  Strawberry (20 fl oz),270,0,0,0,0,0.12,73,0,73,0,5.4,343
BEVERAGES_Miranda  Strawberry (30 fl oz),410,0,0,0,0,0.18,109,0,109,0,8.2,519
BEVERAGES_Mist Twst  (12 fl oz),150,0,0,0,0,0.04,41,0,41,0,3,191
BEVERAGES_Mist Twst  (16 fl oz),200,0,0,0,0,0.05,54,0,54,0,4,254
BEVERAGES_Mist Twst  (20 fl oz),260,0,0,0,0,0.06,68,0,68,0,5.2,328
BEVERAGES_Mist Twst  (30 fl oz),380,0,0,0,0,0.08,101,0,101,0,7.6,481
BEVERAGES_MNT DEW Sweet Lightning (20 fl oz),120,0,0,0,0,0.19,32,0,25,0,2.4,145
BEVERAGES_Mountain Dew  (12 fl oz),160,0,0,0,0,0.05,44,0,44,0,3.2,204
BEVERAGES_Mountain Dew  (16 fl oz),220,0,0,0,0,0.07,59,0,58,0,4.4,278
BEVERAGES_Mountain Dew  (20 fl oz),270,0,0,0,0,0.09,73,0,73,0,5.4,343
BEVERAGES_Mountain Dew  (30 fl oz),410,0,0,0,0,0.13,110,0,109,0,8.2,519
BEVERAGES_Mug Root Beer  (12 fl oz),140,0,0,0,0,0.05,39,0,39,0,2.8,179
BEVERAGES_Mug Root Beer  (16 fl oz),190,0,0,0,0,0.06,52,0,52,0,3.8,242
BEVERAGES_Mug Root Beer  (20 fl oz),240,0,0,0,0,0.08,65,0,65,0,4.8,305
BEVERAGES_Mug Root Beer  (30 fl oz),360,0,0,0,0,0.11,98,0,98,0,7.2,458
BEVERAGES_Pepsi Zero Sugar  (12 fl oz),0,0,0,0,0,0.04,0,0,0,0,0,0
BEVERAGES_Pepsi Zero Sugar  (16 fl oz),0,0,0,0,0,0.05,0,0,0,0,0,0
BEVERAGES_Pepsi Zero Sugar  (20 fl oz),0,0,0,0,0,0.06,0,0,0,0,0,0
BEVERAGES_Pepsi Zero Sugar  (30 fl oz),0,0,0,0,0,0.1,1,0,0,0,0,0
BEVERAGES_Pepsi  (12 fl oz),150,0,0,0,0,0.03,41,0,41,0,3,191
BEVERAGES_Pepsi  (16 fl oz),200,0,0,0,0,0.05,55,0,55,0,4,255
